nome,cpf,idade,data,endereco,estado
Sr. Vitor Gabriel Silva,640.***.***-01,0.0,,Endereço Inválido,AP
Calebe Santos,651.***.***-46,0.0,,Endereço Inválido,PB
Maria Julia Castro,164.***.***-43,0.0,,Endereço Inválido,AL
Arthur Da Rosa,085.***.***-30,0.0,,Endereço Inválido,SE
Juan Pereira,520.***.***-21,0.0,,Endereço Inválido,BA
Dra. Ana Laura Ribeiro,210.***.***-20,0.0,,Endereço Inválido,SP
Maria Clara Araújo,960.***.***-80,0.0,,Endereço Inválido,RO
Vitória Oliveira,302.***.***-83,0.0,,Endereço Inválido,GO
Benjamin Oliveira,451.***.***-84,0.0,,Endereço Inválido,CE
Pietro Barros,843.***.***-50,0.0,,Endereço Inválido,PB
Samuel Cavalcanti,520.***.***-01,0.0,,Endereço Inválido,TO
Ian Da Costa,384.***.***-78,0.0,,Endereço Inválido,PB
Dr. Emanuel Costa,736.***.***-19,0.0,,Endereço Inválido,RJ
Larissa Da Cruz,128.***.***-60,0.0,,Endereço Inválido,RR
Diogo Carvalho,078.***.***-97,0.0,,Endereço Inválido,RS
Sr. Anthony Almeida,305.***.***-60,0.0,,Endereço Inválido,RJ
Clara Martins,397.***.***-86,0.0,,Endereço Inválido,MG
Dr. Luiz Felipe Cardoso,374.***.***-20,0.0,,Endereço Inválido,PE
Sr. Calebe Lopes,135.***.***-77,0.0,,Endereço Inválido,RO
Miguel Monteiro,097.***.***-41,0.0,,Endereço Inválido,SE
Srta. Catarina Da Mata,468.***.***-57,0.0,,Endereço Inválido,AM
João Gabriel Araújo,625.***.***-25,0.0,,Endereço Inválido,MT
Sr. Nicolas Azevedo,036.***.***-33,0.0,,Endereço Inválido,AC
Kamilly Caldeira,508.***.***-47,0.0,,Endereço Inválido,AP
Renan Araújo,186.***.***-57,0.0,,Endereço Inválido,CE
Vicente Nascimento,054.***.***-32,0.0,,"largo vieira
milionario
78970057 dias / df",DF
Isaac Rocha,873.***.***-69,0.0,,Endereço Inválido,PE
Julia Das Neves,819.***.***-05,0.0,,Endereço Inválido,ES
Breno Rodrigues,196.***.***-34,0.0,,Endereço Inválido,AM
Isabel Nogueira,968.***.***-65,0.0,,Endereço Inválido,TO
Anthony Araújo,208.***.***-26,0.0,,Endereço Inválido,AP
Sra. Marina Da Cunha,067.***.***-95,0.0,,Endereço Inválido,RN
Helena Cardoso,853.***.***-39,0.0,,Endereço Inválido,RR
Luigi Nunes,593.***.***-24,0.0,,Endereço Inválido,RR
Srta. Raquel Da Costa,278.***.***-09,0.0,,"estação ribeiro, 46
venda nova
45512787 silva / pb",PB
Sra. Ana Vitória Oliveira,120.***.***-17,0.0,,Endereço Inválido,PA
Luiza Campos,974.***.***-03,0.0,,Endereço Inválido,SC
Lucca Da Paz,526.***.***-95,0.0,,Endereço Inválido,RN
Nathan Da Rosa,907.***.***-25,0.0,,Endereço Inválido,AM
Lívia Silveira,804.***.***-85,0.0,,Endereço Inválido,AL
Isabel Cavalcanti,492.***.***-04,0.0,,Endereço Inválido,PA
Rafael Nunes,285.***.***-76,0.0,,Endereço Inválido,GO
Elisa Fogaça,572.***.***-92,0.0,,Endereço Inválido,PE
Agatha Ramos,948.***.***-85,0.0,,Endereço Inválido,RJ
Kamilly Rocha,946.***.***-48,0.0,,Endereço Inválido,DF
Antônio Das Neves,435.***.***-82,0.0,,Endereço Inválido,SC
Luiz Gustavo Alves,198.***.***-10,0.0,,Endereço Inválido,MS
Emanuella Fernandes,097.***.***-96,0.0,,Endereço Inválido,PR
Srta. Ana Beatriz Farias,431.***.***-39,0.0,,Endereço Inválido,PE
Yago Monteiro,865.***.***-00,0.0,,Endereço Inválido,BA
Yasmin Gonçalves,017.***.***-14,0.0,,Endereço Inválido,BA
Bruna Nascimento,132.***.***-52,0.0,,Endereço Inválido,DF
Davi Luiz Nogueira,873.***.***-50,0.0,,"vila sales, 97
paquetá
59231544 da luz grande / es",ES
Ian Monteiro,324.***.***-91,0.0,,Endereço Inválido,MS
Srta. Helena Silva,905.***.***-01,0.0,,Endereço Inválido,AC
Bárbara Novaes,038.***.***-15,0.0,,Endereço Inválido,PA
Sr. Pedro Lucas Costela,534.***.***-00,0.0,,Endereço Inválido,ES
Rafael Jesus,673.***.***-80,0.0,,Endereço Inválido,DF
Sra. Alícia Caldeira,051.***.***-70,0.0,,Endereço Inválido,PA
Danilo Martins,760.***.***-39,0.0,,"largo pires, 78
bacurau
13125523 sales verde / ap",AP
Sr. Gabriel Da Rosa,530.***.***-53,0.0,,Endereço Inválido,CE
Augusto Teixeira,412.***.***-16,0.0,,Endereço Inválido,RR
Ana Julia Da Rosa,630.***.***-65,0.0,,Endereço Inválido,SP
Lucca Barbosa,836.***.***-77,0.0,,"rua mendes, 337
penha
06179-472 sales do sul / sp",SP
Amanda Da Costa,268.***.***-29,0.0,,"lagoa cardoso, 1
ambrosina
61793-758 da rocha / sp",SP
Dr. Francisco Cardoso,430.***.***-50,0.0,,Endereço Inválido,TO
Lorena Farias,268.***.***-82,0.0,,Endereço Inválido,AP
Anthony Da Costa,935.***.***-97,0.0,,Endereço Inválido,SE
Cauã Rodrigues,107.***.***-87,0.0,,Endereço Inválido,AL
Anthony Barbosa,631.***.***-00,0.0,,Endereço Inválido,RN
Ana Julia Almeida,179.***.***-09,0.0,,Endereço Inválido,MA
Milena Barros,314.***.***-51,0.0,,Endereço Inválido,PA
Murilo Gomes,759.***.***-93,0.0,,Endereço Inválido,SP
Daniel Barbosa,812.***.***-98,0.0,,Endereço Inválido,CE
Dr. Samuel Cardoso,039.***.***-96,0.0,,Endereço Inválido,BA
Ana Laura Sales,863.***.***-22,0.0,,Endereço Inválido,PR
Mariana Cunha,492.***.***-25,0.0,,Endereço Inválido,AM
Sr. João Guilherme Cavalcanti,347.***.***-70,0.0,,Endereço Inválido,MS
Kamilly Rocha,365.***.***-10,0.0,,Endereço Inválido,MS
Gabriel Nunes,940.***.***-04,0.0,,Endereço Inválido,PA
Rafael Correia,579.***.***-05,0.0,,"morro de cardoso, 47
marçola
82157940 melo / se",SE
Ana Lívia Barbosa,925.***.***-60,0.0,,Endereço Inválido,CE
Maitê Teixeira,694.***.***-39,0.0,,Endereço Inválido,PE
Carlos Eduardo Santos,937.***.***-37,0.0,,"largo nascimento, 97
delta
00090-218 barbosa / pr",PR
Enzo Gabriel Araújo,349.***.***-96,0.0,,Endereco Inválido,desconhecido
Breno Moreira,184.***.***-49,0.0,,Endereço Inválido,AL
Julia Lopes,106.***.***-31,0.0,,Endereço Inválido,PR
André Lima,645.***.***-70,0.0,,Endereço Inválido,RO
João Gabriel Barbosa,190.***.***-67,0.0,,Endereço Inválido,DF
,438.***.***-56,0.0,,Endereço Inválido,GO
João Felipe Oliveira,830.***.***-00,0.0,,Endereço Inválido,RN
Samuel Vieira,218.***.***-53,0.0,,Endereço Inválido,MT
Lucca Ferreira,237.***.***-19,0.0,,Endereço Inválido,MG
Samuel Castro,582.***.***-70,0.0,,Endereço Inválido,AL
Maria Vitória Teixeira,426.***.***-25,0.0,,"praia carvalho, 7
vila nova
08272068 costela / pa",PA
Maria Fernanda Farias,907.***.***-20,0.0,,Endereço Inválido,AM
Fernanda Sales,879.***.***-32,0.0,,Endereço Inválido,PE
Srta. Eduarda Nogueira,602.***.***-07,0.0,,Endereço Inválido,PB
Maitê Ferreira,016.***.***-99,0.0,,Endereço Inválido,PR
Catarina Pires,079.***.***-11,0.0,,Endereço Inválido,MT
Manuela Da Rocha,839.***.***-57,0.0,,Endereço Inválido,SP
Nina Moura,604.***.***-25,0.0,,Endereço Inválido,PA
Pedro Henrique Vieira,526.***.***-03,0.0,,Endereço Inválido,RR
Ana Clara Cunha,862.***.***-02,0.0,,Endereço Inválido,AC
Pietra Santos,508.***.***-67,0.0,,Endereço Inválido,GO
Sr. Theo Da Conceição,284.***.***-14,0.0,,Endereço Inválido,RR
Vinicius Da Costa,023.***.***-16,0.0,,Endereço Inválido,PA
Pedro Henrique Cunha,519.***.***-93,0.0,,Endereço Inválido,ES
Davi Nogueira,564.***.***-11,0.0,,Endereço Inválido,CE
Luiz Fernando Da Paz,409.***.***-11,0.0,,Endereço Inválido,TO
Srta. Letícia Rocha,137.***.***-32,0.0,,Endereço Inválido,SC
João Nogueira,367.***.***-10,0.0,,Endereço Inválido,CE
João Gabriel Cardoso,962.***.***-34,0.0,,Endereço Inválido,AC
Ryan Ribeiro,409.***.***-48,0.0,,Endereço Inválido,PB
Olivia Das Neves,314.***.***-55,0.0,,Endereço Inválido,AL
Sr. Luiz Miguel Pinto,942.***.***-76,0.0,,Endereço Inválido,SC
Elisa Teixeira,217.***.***-73,0.0,,Endereço Inválido,ES
Pedro Miguel Das Neves,523.***.***-03,0.0,,Endereço Inválido,RS
Maria Luiza Azevedo,064.***.***-47,0.0,,Endereço Inválido,PE
Lorenzo Silva,642.***.***-13,0.0,,Endereço Inválido,RJ
Bianca Souza,673.***.***-40,0.0,,Endereço Inválido,SC
Vitor Azevedo,643.***.***-20,0.0,,Endereço Inválido,AL
